,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
37,37,0.928184449672699,2020-06-18 18:42:20.694690,2020-06-18 18:46:35.178847,elu,,relu,selu,selu,selu,selu,elu,elu,,,0.45206948450358864,0.187060243813241,0.2456316888232913,0.2345803915057867,0.41087972189783295,0.36982858495569115,0.396082729437126,,128,0.00011828666829755431,8,,128,256.0,256.0,128.0,512.0,512.0,256.0,,COMPLETE
38,38,0.9315550923347473,2020-06-18 18:46:35.191971,2020-06-18 18:50:49.708954,elu,,linear,relu,selu,selu,elu,elu,elu,,,0.4138231988573935,0.33336441956449986,0.1738866919502551,0.29981901138768696,0.22958739303163103,0.3092368786662615,0.29853571502783105,,512,3.348247980158731e-05,8,,128,256.0,512.0,128.0,512.0,512.0,256.0,,COMPLETE
39,39,0.5,2020-06-18 18:50:49.722940,2020-06-18 18:55:12.250059,elu,,relu,selu,selu,linear,elu,elu,elu,relu,,0.4708564785293669,0.2826739002232572,0.2852740773804268,0.364866800914108,0.05650430756847012,0.4317492592723646,0.4157559627668628,0.3877762156233711,512,0.012379414535605234,9,,128,256.0,256.0,128.0,512.0,512.0,256.0,256.0,COMPLETE
40,40,0.913062334060669,2020-06-18 18:55:12.265168,2020-06-18 18:59:21.939120,linear,,selu,relu,elu,selu,elu,elu,elu,,,0.31205259003622327,0.2398606495744987,0.12985919935652362,0.18433956190554307,0.04533962062223616,0.4850995743713486,0.29285974243990814,,512,4.925922552943329e-05,8,,256,512.0,128.0,128.0,512.0,512.0,256.0,,COMPLETE
41,41,0.9342641234397888,2020-06-18 18:59:21.953885,2020-06-18 19:03:25.761533,selu,,relu,selu,linear,relu,elu,elu,,,,0.3736313264775828,0.4540776672112343,0.2231546284527544,0.2657945944306329,0.11345400916852798,0.36866790822885415,,,512,1.5541508076811098e-05,7,,128,256.0,512.0,128.0,512.0,512.0,,,COMPLETE
42,42,0.927315890789032,2020-06-18 19:03:25.776474,2020-06-18 19:07:28.459185,elu,,relu,selu,selu,elu,elu,relu,,,,0.25485436278097484,0.3746245128577368,0.18145210688130622,0.41440594290313937,0.1562910642122063,0.06989653040192484,,,512,2.385676661030908e-05,7,,128,128.0,256.0,128.0,128.0,256.0,,,COMPLETE
43,43,0.9358785152435303,2020-06-18 19:07:28.490371,2020-06-18 19:11:34.081137,selu,,relu,elu,elu,linear,elu,linear,relu,,,0.43981788376683917,0.1787745129678249,0.07411423815401535,0.22742431090512014,0.0018006693291849063,0.001247557844036934,0.4976176597901625,,512,1.0250614040564814e-05,8,,128,128.0,256.0,256.0,512.0,512.0,256.0,,COMPLETE
44,44,0.9206060171127319,2020-06-18 19:11:34.096291,2020-06-18 19:15:37.477681,relu,,relu,linear,elu,linear,elu,linear,relu,,,0.4407749740986978,0.15963027984703906,0.07488764586305599,0.2321993578862398,0.007145290373811369,0.0028305695739223036,0.4929783953897818,,512,1.0669726804219304e-05,8,,128,256.0,256.0,256.0,512.0,512.0,512.0,,COMPLETE
45,45,0.9407749176025391,2020-06-18 19:15:37.493252,2020-06-18 19:20:00.604187,linear,elu,relu,selu,elu,linear,relu,linear,relu,relu,0.36866468529671326,0.49588112196509104,0.1888284861525055,0.02482604232710927,0.4618444241967431,0.20010120131699435,0.034903155820634454,0.413441821058561,0.417585436352907,512,1.6249661068281357e-05,10,512.0,512,128.0,256.0,256.0,128.0,512.0,256.0,256.0,COMPLETE
46,46,0.5,2020-06-18 19:20:00.620237,2020-06-18 19:24:21.652128,linear,relu,relu,selu,elu,linear,relu,linear,relu,relu,0.07623396717398684,0.4818415449961295,0.18739471404152125,0.02907795379674155,0.1182478927104255,0.21501085599329028,0.034439630157907214,0.49859546169945235,0.41763600848154037,512,0.0035519970231667384,10,256.0,512,128.0,256.0,256.0,128.0,512.0,256.0,256.0,COMPLETE
