A2A,A1,hERG
0.6249903,0.64044374,0.34009546
0.4711916,0.5268855,0.39405644
0.6275061,0.6011383,0.3641109
0.46489486,0.4819841,0.26665294
0.6299411,0.6700269,0.326909
0.53341514,0.5364007,0.24821997
0.6101384,0.69644237,0.3256094
0.5678438,0.6224898,0.34279597
0.5501725,0.5560197,0.0789665
0.46999204,0.47035968,0.38493967
0.676168,0.64975524,0.29866552
0.5663129,0.60404426,0.29350495
0.53678346,0.5375705,0.35733777
0.51227677,0.5527127,0.3468585
0.5183242,0.5867561,0.25084203
0.460039,0.4816441,0.18955481
0.603936,0.67659175,0.4336797
0.6791288,0.7795984,0.24238801
0.8096696,0.79189414,0.32406688
0.49109057,0.571646,0.32323146
0.59174484,0.6276575,0.36789548
0.61453813,0.7551766,0.2324428
0.49694997,0.57222575,0.37449896
0.70359826,0.69125444,0.3366481
0.6418632,0.61929184,0.31071955
0.4555119,0.48196712,0.31492484
0.6229477,0.7592143,0.35132617
0.66919744,0.7192012,0.35019606
0.50389755,0.55527586,0.34511048
0.6307314,0.6385537,0.2992006
0.5250548,0.5019996,0.039556682
0.5616486,0.5330869,0.3494674
0.5850027,0.65767056,0.25351673
0.6738292,0.7026442,0.3065775
0.55284464,0.4704401,0.19193989
0.620027,0.7110546,0.33902663
0.6005528,0.59091055,0.3399781
0.61698043,0.73018616,0.13989836
0.58452207,0.7926798,0.31824046
0.5794981,0.6723898,0.17194265
0.61519235,0.6501237,0.34726042
0.5353373,0.5504338,0.29177368
0.610051,0.7227891,0.28341782
0.5594477,0.5008465,0.24043578
0.4822602,0.51336974,0.33337116
0.58475983,0.59058475,0.25428677
0.58185,0.6077807,0.3028047
0.6853802,0.63242054,0.30698776
0.48139283,0.48305476,0.40392107
0.60207707,0.6437112,0.28492332
0.4981282,0.47695813,0.3745426
0.5770204,0.6285145,0.27056915
0.6316988,0.6288825,0.31513923
0.5287407,0.57308805,0.34253544
0.72498465,0.7638271,0.26085687
0.68807554,0.75874346,0.28639436
0.53167963,0.5188742,0.28737688
0.60409266,0.6516619,0.33305615
0.47166672,0.48542592,0.34604383
0.63156253,0.82451546,0.32852405
0.6359188,0.6119506,0.23899424
0.60901845,0.6028561,0.19583952
0.5195536,0.60642797,0.21860766
0.6340073,0.7159937,0.22248203
0.48652914,0.51256704,0.3991099
0.6031837,0.64579433,0.3417762
0.68569165,0.5375709,0.26201802
0.68947256,0.69759226,0.34206933
0.6050842,0.629158,0.42088258
0.48425224,0.566542,0.37560385
0.52245694,0.5089651,0.19712389
0.5503472,0.5656072,0.29991204
0.6315065,0.64686537,0.30884343
0.5118034,0.51220906,0.26533598
0.61804014,0.7029651,0.2949903
0.46228543,0.47367555,0.3702479
0.62057275,0.6090203,0.36649007
0.59139043,0.63836795,0.24828643
0.48478314,0.47947726,0.36184764
0.49973583,0.5028687,0.3557971
0.45746687,0.4774773,0.39703727
0.6018203,0.60988265,0.31464726
0.5355721,0.5826188,0.35202783
0.5243397,0.6510142,0.34415483
0.6339661,0.61582536,0.25288475
0.46682557,0.5077484,0.33738446
0.6300445,0.6054679,0.261809
0.64629614,0.6983164,0.278709
0.5246009,0.78054404,0.35692376
0.56402737,0.6118637,0.34345853
0.6151183,0.6558414,0.37003368
0.6952976,0.7618952,0.34341556
0.5644035,0.8584784,0.3026759
0.5846518,0.6007601,0.24471033
0.5311626,0.57610327,0.1859721
0.5065568,0.5020241,0.44354635
0.75142366,0.6996643,0.27183646
0.7079119,0.6763548,0.2721734
0.6820096,0.7274613,0.28426313
0.55331165,0.5040369,0.20844519
0.70222414,0.73321813,0.27634805
0.6862081,0.68521124,0.2776901
0.541126,0.69077384,0.21317261
0.5960903,0.6661232,0.40089023
0.5817059,0.62801206,0.31089425
0.6020207,0.6210212,0.2515204
0.48218796,0.4881049,0.31247282
0.51484394,0.5457129,0.26847672
0.47890115,0.55598825,0.26264447
0.566591,0.62576294,0.31688833
0.74473506,0.68515795,0.3289292
0.56950223,0.60263383,0.20097286
0.59909827,0.5908891,0.254156
0.54746085,0.57751125,0.30548596
0.65038043,0.7057005,0.08115518
0.7112323,0.7299231,0.34216684
0.5716686,0.69799316,0.3321582
0.61429876,0.6701868,0.34590268
0.7651133,0.7045131,0.32004386
0.46109334,0.4794211,0.34187686
0.5705209,0.6056509,0.33056176
0.4730877,0.47121882,0.39501637
0.5004893,0.54014385,0.24274266
0.59717554,0.62814105,0.30370998
0.6284689,0.54068255,0.34955245
0.48778865,0.4967209,0.34018248
0.6245436,0.62554675,0.3425467
0.46278834,0.47437182,0.4169649
0.6498074,0.68865365,0.31005168
0.4687557,0.49246508,0.29589313
0.68168205,0.66049206,0.2932825
0.6005086,0.7133589,0.2941196
0.58967716,0.63005173,0.36260647
0.6330867,0.6764122,0.32059568
0.49915943,0.5908448,0.3127432
0.58851135,0.64147824,0.25278807
0.459517,0.50178266,0.34476858
0.59008974,0.64109576,0.21369314
0.5334113,0.5343939,0.28309238
0.9150051,0.8097651,0.29406583
0.6863476,0.8621888,0.35831624
0.60493153,0.54278433,0.299223
0.71284276,0.6846303,0.3132851
0.51465744,0.6163418,0.38560873
0.53129554,0.57346237,0.24908096
0.5851848,0.56938607,0.21698833
0.67203116,0.6924223,0.32980043
0.6894615,0.6771151,0.31962144
0.5143611,0.57933015,0.35000467
0.6915282,0.6859311,0.33030677
0.6582331,0.74779755,0.41749084
0.6999988,0.6724349,0.33216828
0.57072484,0.67315036,0.26038063
0.5407283,0.6078418,0.23206908
0.72708666,0.75671184,0.26551515
0.46497273,0.4799424,0.3729707
0.5157924,0.55021816,0.26984984
0.6922841,0.6870409,0.279653
0.55046934,0.5666278,0.310538
0.515544,0.5022461,0.36279702
0.70103353,0.7054684,0.33779866
0.63113886,0.63515973,0.31506395
0.64446366,0.67986256,0.32628644
0.62870073,0.6444941,0.27573556
0.5941463,0.64468634,0.31419665
0.69525975,0.6570584,0.39397347
0.5925371,0.6088369,0.32485312
0.5356975,0.5554857,0.2523374
0.574118,0.6771912,0.3447978
0.6531858,0.68779796,0.27339268
0.6079346,0.6797363,0.39631718
0.81752443,0.9324813,0.4245624
0.6232358,0.6702641,0.31411105
0.57818556,0.6799003,0.2801568
0.6821169,0.64626926,0.29131442
0.6168397,0.7136616,0.25809675
0.606613,0.546794,0.25687784
0.4918229,0.5215798,0.35967028
0.5754176,0.7602018,0.209198
0.50733835,0.4880498,0.27725363
0.6706985,0.70666736,0.40431762
0.46817026,0.5039087,0.398103
