A2A,A1,hERG
0.5315947,0.5849234,0.28454632
0.7644806,0.91895586,0.26929003
0.63830465,0.59371233,0.26245517
0.8040781,0.9179365,0.26621288
0.7170249,0.76106524,0.33608186
0.799771,0.78357476,0.2912761
0.73642254,0.76979023,0.31638795
0.6606784,0.79475385,0.29334134
0.7306188,0.8044141,0.2453695
0.7990672,0.8244835,0.30663562
0.5901441,0.8400203,0.28084564
0.7007624,0.6869618,0.33073825
0.7713606,0.79501814,0.29346138
0.5669211,0.6404657,0.36052358
0.63884467,0.74699455,0.17952728
0.68749166,0.7269606,0.26919484
0.53177637,0.6238359,0.2793932
0.73745805,0.7888044,0.3608812
0.47809544,0.49517396,0.34451383
0.86023104,0.83547556,0.3508796
0.89723057,0.83108425,0.17347604
0.81396806,0.7292569,0.31436706
0.7171652,0.8240032,0.26332337
0.77190197,0.75205725,0.38451916
0.68220884,0.7457502,0.27425104
0.5037898,0.5104244,0.24565005
1.0,0.95687497,0.30355906
0.95489955,0.94211096,0.27680236
0.5883933,0.64870816,0.42141926
0.8393338,0.82015365,0.22064197
0.78704244,0.829192,0.27404553
0.7401682,0.69828475,0.25639558
0.95180064,0.78944635,0.31784934
0.78920895,0.7671831,0.25426733
0.7541529,0.823225,0.32861078
0.64268655,0.71742827,0.35589868
0.818782,0.7643714,0.21082586
0.84197205,0.75163597,0.35056704
0.7678034,0.68283844,0.25069255
0.6898079,0.6139032,0.30468208
0.6522633,0.7080939,0.21622944
0.47297332,0.60753417,0.4178031
0.6841629,0.697689,0.30306214
0.91737604,0.9133323,0.27763867
0.61905843,0.653622,0.25467455
0.6862329,0.71448785,0.23598832
0.6059109,0.7156038,0.39405006
1.0,0.9078577,0.26263434
0.8773514,0.7466988,0.3695734
0.6888472,0.6116129,0.3236094
0.7737018,0.68113846,0.26819152
0.67969215,0.6953551,0.36311138
0.54747385,0.5796748,0.26635987
0.5605589,0.508938,0.23078537
0.6209256,0.6365795,0.2799018
0.7234576,0.8087596,0.285191
0.50740623,0.5018157,0.29107398
0.7155502,0.8282032,0.37940514
0.52662367,0.65715665,0.37888563
0.6696749,0.7224317,0.29757714
0.7475356,0.77041537,0.30903798
0.49665394,0.5068093,0.32485694
0.7928713,0.8529616,0.27483416
0.7686771,0.7690595,0.30948734
0.47541857,0.48363993,0.27438742
0.6112623,0.60133183,0.27509403
0.63978875,0.68823016,0.34433347
0.5185549,0.586567,0.35986853
0.64722145,0.7331899,0.4301843
0.6845703,0.72366065,0.40784377
0.49683234,0.57237357,0.39663726
0.72383296,0.7996579,0.3078454
0.60303354,0.69079995,0.37603587
0.8254177,0.7104547,0.23576295
0.6763078,0.77763987,0.30778497
0.71147925,0.77884424,0.33245474
0.842666,0.786263,0.35128576
0.9446282,0.85531634,0.3188328
0.56917,0.5839382,0.24855769
0.57193017,0.66722816,0.1970489
0.7936805,0.87834567,0.41339827
0.5030853,0.5534103,0.39813364
0.8336233,0.758745,0.32443058
0.66421807,0.6966157,0.39905965
0.5098905,0.53216934,0.2715575
0.6018974,0.6583418,0.26137626
0.7539335,0.6978841,0.3082897
0.87841237,0.8163008,0.29795998
0.5964627,0.6602048,0.42273742
0.69222236,0.6573608,0.29080784
0.74090266,0.7049316,0.28860873
0.90148187,0.8468807,0.33850193
0.5929872,0.6498919,0.2448752
0.5191024,0.6114446,0.4011578
0.613741,0.70124024,0.28768468
0.5251298,0.54889864,0.36521453
0.9054981,0.9007667,0.25939292
0.70139873,0.58610845,0.29029584
0.46135506,0.4645988,0.45430678
0.46032158,0.485357,0.36524987
0.7610399,0.816935,0.32892895
0.94989264,0.90047204,0.18716514
0.7293327,0.77838135,0.27300555
0.74476004,0.6711298,0.39844328
0.6325004,0.58091015,0.34337205
0.71603346,0.65908587,0.2168392
0.7718058,0.7804568,0.27171046
0.7597604,0.72060466,0.30003667
0.8418574,0.8367856,0.33958375
0.6231263,0.63269794,0.3251595
0.98558307,0.90191853,0.25917935
0.9224619,0.82566494,0.26666796
0.6392954,0.72584003,0.2808327
0.78246576,0.7992213,0.26557165
0.84406745,0.76505387,0.3420356
0.7288439,0.73057675,0.38790452
0.7489729,0.81470233,0.3740762
0.7136335,0.6526866,0.30887103
0.81309694,0.5885201,0.20928764
0.92951435,0.841426,0.42761183
0.53757995,0.5289238,0.37999898
0.794615,0.799831,0.32367736
0.55522025,0.6082217,0.34122902
0.6362993,0.63764775,0.3528927
0.77324563,0.72688645,0.31622338
0.73879915,0.7978471,0.39844197
0.6420077,0.65594834,0.3674876
0.82326216,0.74602586,0.28858644
0.7572997,0.7778645,0.3769952
0.75053215,0.7735394,0.24280399
0.6786998,0.716226,0.29827088
0.55892783,0.57736796,0.27663553
0.7041947,0.73053813,0.27488482
0.7381956,0.71119714,0.28738505
1.0,0.9385651,0.26565123
0.6971727,0.7771889,0.30892783
0.73976105,0.684057,0.3531146
0.6055414,0.6076923,0.2526155
0.6978322,0.7866239,0.2759208
0.6055244,0.6042036,0.26835817
0.7270963,0.6701479,0.30834758
0.7881015,0.8850483,0.2909497
0.7769108,0.7862874,0.33458143
0.5417548,0.6158077,0.3332075
0.69929177,0.73567146,0.2939123
0.73319334,0.563801,0.324027
0.7283493,0.699966,0.3613276
0.73484147,0.73792475,0.38989204
0.80498624,0.76126873,0.32661837
0.5637236,0.5190074,0.32952714
0.79658455,0.8054451,0.2774465
0.7391805,0.8642039,0.29609823
0.51163155,0.61816007,0.27471405
0.869595,0.93836504,0.2696188
0.5994472,0.65517414,0.2926938
0.7018046,0.5860567,0.27706736
1.0,0.9486982,0.32632214
0.82461965,0.7540082,0.35826838
0.8131548,0.76807046,0.29221213
0.6067486,0.6879716,0.33157277
0.51240754,0.49387753,0.41153836
0.73709446,0.8856184,0.44178355
0.62891555,0.6303507,0.39989
0.85244656,0.6966663,0.37314487
0.60428464,0.6539517,0.36578524
0.8221414,0.7111303,0.26248306
0.5434217,0.5446716,0.3392287
0.694602,0.7812346,0.2572559
0.56879723,0.59618115,0.17601699
0.709972,0.8222074,0.4339195
0.53776914,0.57656235,0.41778535
0.7622797,0.8072967,0.28431076
0.7250165,0.7578178,0.36759537
0.629838,0.67310566,0.33601815
0.47904485,0.52297324,0.33313406
0.5599013,0.6784447,0.37859035
0.53796077,0.55568105,0.3144518
0.8652139,0.8959163,0.3099522
0.6246523,0.7805484,0.4013242
0.6941257,0.7171428,0.28440875
0.5354596,0.58800864,0.36736077
0.7973235,0.6904409,0.29548305
0.6819985,0.80842584,0.41333842
0.7072032,0.6860711,0.1900115
0.76980305,0.81563914,0.23328775
0.5309965,0.5557856,0.33193284
0.7509216,0.7539222,0.379004
0.7460668,0.7295434,0.25691593
0.569482,0.59142244,0.21041375
0.75945157,0.684091,0.22996181
0.7544162,0.7418429,0.3976153
0.66497535,0.563353,0.43881178
0.64231765,0.673533,0.29060298
0.8458892,0.8202955,0.2720101
0.6536783,0.7605301,0.37504178
0.6369186,0.6394879,0.33468515
1.0,0.9094413,0.28091365
0.5995297,0.6779009,0.3083884
0.80193484,0.8035765,0.3034324
0.7668177,0.84958965,0.32328206
0.6493081,0.7099052,0.24770343
0.7246358,0.73018736,0.20641387
0.7128753,0.77049553,0.33211
0.7732059,0.83386713,0.302379
0.94557685,0.81180865,0.33742368
0.79775393,0.7817347,0.2415731
0.7286814,0.69713587,0.29083103
0.66603315,0.6884369,0.25062615
0.6605034,0.6253164,0.31304777
0.79565173,0.8190758,0.249946
0.6982868,0.6603319,0.26129985
0.6681821,0.6873147,0.30834967
0.7373918,0.7976449,0.3047433
0.84654665,0.6632887,0.27908176
