smiles,pchembl_value,pred
Cc1nc(-c2sc(NC(=O)CC(C)C)nc2-c2ccccc2)no1,7.48,6.72501104757509
CCN(CC)Cc1cccc2c1-c1nc(N)nc(-c3ccccc3)c1C2=O,7.74,7.009763542016648
Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,6.63,6.612251908265276
Cn1cc2c(nc(NNC(=S)Nc3ccc(C4c5ccc(O)cc5OC5=CC(=O)C=CC54)c(C(=O)O)c3)n3nc(-c4ccco4)nc23)n1,6.03,6.767259643167153
Nc1nc(NC(=O)CCCC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.71,6.458462630358463
N#Cc1ccccc1-c1nc(N)c2cc(CN3CCC(F)CC3)sc2n1,5.99,6.922044166834797
COc1ccc(CCCN(C)c2cc3nc(-c4ccco4)nn3c(N)n2)cc1,8.24,7.32732338186896
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3)cc2n(C)c1=O,5.54,6.694676727735031
CCOC(=O)c1sc(NC(=O)c2ccco2)nc1-c1ccccc1,7.89,6.77482371330282
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,9.4,7.707736302773101
Nc1nc(NCCc2ccco2)nc2sc(-c3ccco3)nc12,8.523333333333333,7.233464404235733
CCCn1c(=O)c2[nH]c(-c3ccc(OCC4CC(=O)N(c5ccc(C(F)(F)F)cc5)C4)nc3)nc2n(CCC)c1=O,7.28,6.578425428230548
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(C(=O)NC)cc3)sc12,7.08,6.833887375023011
COc1ccc(N(CC(=O)N(C)C)C(C)=O)c2sc(NC(=O)c3ccc(F)cc3)nc12,6.32,6.8576576868900165
N#Cc1cccc(-c2nc(N)c3cc(CN4CCC(F)CC4)sc3n2)c1,7.26,6.968498986662024
COc1ccccc1-n1cc2nc(-c3ccc(C)o3)nc(N)c2n1,6.29,6.9468370021606605
Cc1csc(-c2nc(N)c3cc(Cc4ccccc4F)sc3n2)n1,8.01,7.02231778196504
CC(C)CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,6.94,6.9554254006089575
N#Cc1c(-c2cccs2)cc(-c2ccco2)nc1N,8.85,7.136840543021504
Nc1nc(-c2ccccc2)c2c(n1)-c1cc(NCCc3ccncc3)ccc1C2=O,9.05,7.169321502350525
Cc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,6.9,6.2979128722789115
O=C1c2ccccc2C(=O)c2cc(OCC(O)CN3CCCCC3)ccc21,5.3,6.623332995231199
Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)[nH]c2n(C)c1=O,7.49,6.481626998239451
Cc1cc2[nH]c3cccnc3c2c(C)c1O,4.6,6.491028025150612
Nc1cc(-c2ccco2)cn2cc(-c3ccccc3)nc12,6.38,7.047932142879281
COc1cccc2c(C(=O)N[C@H]3CCCc4cccnc43)nc(N)nc12,6.75,6.858911722577934
CC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1,5.88,6.746092152690987
CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O,5.68,6.370319772184687
Cn1c(-n2nccn2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21,5.01,6.818092055811687
CCOC(=O)c1nc(NC(=O)Cc2ccccc2)nc2nn(CC(C)(C)C)cc12,5.24,6.419515867753316
COc1ccccc1Cn1cc2nc(-c3ccco3)nc(N)c2n1,8.24,7.19258036762195
Cc1cc(CNC(=O)c2cc(-c3ccc(C)o3)nc(N)n2)no1,8.07,7.187329062442183
O=C(CC1CCCC1)Nc1ccc(C(=O)Nc2nccs2)cc1,7.17,6.566548167553509
N#Cc1cccc(-c2nc(N)c3cc(CN4CC=CC4)sc3n2)c1,7.08,6.974173166983523
Cc1ccccc1-n1cc2c(n1)c(NC1CCCC1)nc1ccccc12,6.48,6.302614099873036
COc1cccc2c1nc(N)n1nc(CN3CCN(c4ccccn4)C[C@H]3C)nc21,7.43,7.132833246344809
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccs5)ncnc43)[C@H](O)[C@@H]2O)n1,7.42,6.605809798763191
O=c1n(-c2ccccc2)nc2c(NC3CCCCC3)nc3ccccc3n12,5.86,6.345474951179903
N#Cc1c(-c2ccc(F)cc2)cc(C2CC2)nc1N,6.97,6.7692470101683995
CC(C)Sc1nc(-n2cccn2)nc(N)c1Br,8.15,6.734990968671499
CCCn1c(=O)c2nc(C34CCC(CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,5.19,6.357204870698054
COc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,8.17,6.780067981574857
Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ccc4c3)c2n1,8.96,7.430501177898298
Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(F)c3)nc(-c3ccc(C)o3)n2)n1,8.43,7.368028806151898
COc1nc(C(=O)c2cccs2)c2sccc2n1,7.1,6.604543755518992
COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.04,7.49767687179254
O=C(c1ccccc1)c1sc(NCc2ccco2)nc1-c1ccco1,7.37,6.959379386227458
O=C(c1ccccc1)c1sc(NCCc2cccs2)nc1-c1ccco1,7.92,6.952204076593532
CC(C)(O)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,5.96,6.647654656259945
CCCCC(CC)CNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,4.47,7.003067336926338
COc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,5.45,6.35773738755951
Cc1cc(C)n(-c2cc(NC(=O)COc3cc(F)cc(CN4CCCC4)c3)nc(-c3ccc(C)o3)n2)n1,9.3,7.316690117621507
Cl.N=C1N(CCCCc2ccccc2)C[C@@H]2Cc3ccccc3CN12,4.46,6.508482636555689
N#CCSc1nc2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2c2nc3ccccc3n12,6.0,6.677193429183968
Cc1ccc(-c2cc(C(=O)NCc3ccccn3)ncn2)o1,7.01,6.918023189784175
Cn1cc2c(nc(NC(=O)Cc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,7.52,6.9255225690457305
