smiles,pchembl_value
CC(C)(C)OC(=O)NCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,6.96
C[C@@H]1CCCN1CCN1CCc2cc(-c3ccc(C#N)cc3)ccc2C1=O,6.85
Cn1cc2c(OCC3CCN(CCc4ccc(C(=O)O)cc4)CC3)nc3ccccc3c2c1,5.0
c1ccc(CCN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1,6.28
O=C1OCc2c1ccc(CCN1CCN(C(=O)Cc3ccc(-n4cnnn4)cc3)CC1)c2F,4.715
Cc1nc(C(=O)O)ccc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,5.0
O=C(O)C(=O)O.O=[N+]([O-])c1ccccc1OCCNCc1ccccc1,5.32
Cc1ccc(-n2nc(C)c(C(=O)N[C@@H]3COc4cccc(N5CCN(C)CC5)c4C3)n2)c(C)c1,5.0
Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,6.17
COc1ccc(CCCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1,4.84
Cn1cc([C@H]2C[C@H]3[C@@H](CF)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1,4.86
Nc1nc(N2CCNCC2)c2ccc(C3CC3)cc2n1,5.33
CCCCCCOc1cc(C)c(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)c(C)c1,3.99
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,6.5633333333333335
CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2-c2ccnn2C)CC1,5.39
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(-c5ccccc5F)n4)cc32)C1,5.89
CN1CCC(COCc2cc(C(F)(F)F)cc(C3CC3)n2)(c2ccc(Cl)cc2)CC1,5.51
Oc1cc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2n1,6.95
CC(C)N1CCC[C@@H](CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,5.89
COc1cccnc1C(=O)N1CCN(c2ccc(NC(=O)C(C)(C)c3ccccc3)cc2Cl)CC1.Cl,4.3
O=C(Nc1ccc(Cl)cc1CO)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,5.48
Cc1cccc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,5.14
CONC(=O)N(Cc1ccsc1)C1CCN([C@H](C)CCNC(=O)c2c(C)cc(C#N)nc2Cl)CC1,4.97
O=C1OCCN1C1CCN(CCOc2ccc(Oc3nc4ccccc4s3)cc2)CC1,5.57
C[C@@H]1c2nnc(-c3csc(-c4ccc(F)cc4F)n3)n2CCN1C(=O)c1ccc(-c2cccs2)cc1,5.85
COc1ccc2ncc(CO)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.535
O=C(Nc1ccc(F)cn1)[C@H](COCCO)Oc1ncnc2c1cnn2-c1ccccc1Cl,4.4
NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c1,9.42
O=C(NC(c1ccccc1)c1ccccc1)[C@@H]1CC[C@@H](N2CCOCC2)C[C@H]1c1ccc(Br)cc1,6.28
CN1Cc2cc(N3CCOCC3)ccc2[C@@H](c2ccc3sccc3c2)C1,6.0
COc1ccc2c(=O)n(CCO)c(C#N)c(-c3cccc(F)c3)c2c1,4.21
CSc1ncccc1C(=O)N1CC[C@H](NCc2cncn2Cc2ccc(C#N)cc2)C1=O,5.11
O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1[C@@H]2C[C@@H]2CN1C(=O)[C@H](O)Cc1ccccn1,3.99
CCC(CC)(CCOc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1)C(=O)O,6.4
C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,3.99
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,3.99
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cccs3)CC2)C1,4.57
COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,5.43
COCc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3C[C@H](OC)C3)c(=O)n2C)cn1,5.05
COCC(=O)N1CCO[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,4.62
CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCN(CCOc3ccc(NS(C)(=O)=O)cc3)CCc3ccc(NS(C)(=O)=O)cc3)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,7.75
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,3.99
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(S(N)(=O)=O)cc1,6.65
Cc1ccc(Cc2cc[n+](C)c(COc3ccc(C)cc3)c2)cc1.O=S(=O)([O-])C(F)(F)F,6.46
NC(=O)c1cccc(S[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,5.96
O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc(Cl)c21,5.47
NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2cccnc2)c1,8.46
COCCCc1cc(CCCCNS(C)(=O)=O)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1,5.09
Clc1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1Cl,8.0
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.61
N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,6.25
COC(=O)C1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(Cc2cccc(OC)c2)CC1,6.44
C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccccc1)c1ccc(C(=O)O)cc1.Cl,3.99
COc1nc2ccc(CN(C)C)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,5.32
C[C@H]1[C@@H](c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc2S1(=O)=O,6.36
CCc1ccc(/C=C/C(=O)c2cc(Br)ccc(=O)c2O)cc1,5.94
Cn1nc(NCC(=O)NC2CN([C@H]3CC[C@@H](C4CCCCC4)CC3)C2)c2cc(C(F)(F)F)ccc21,5.51
CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(F)cc3)CC1=O)C2,5.09
COc1cc(N2CCN(C(=O)[C@@H](C)O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,4.82
CC(C)N(C)[C@@H]1CC[C@H](NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)[C@H](COc2ccccc2)C1,5.28
Cn1cc([C@@H]2N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,5.66
NCC(O)COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.48
O=C(Nc1cccc(C(F)(F)F)c1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21,4.81
O=C(c1ccccc1F)N1CCC(Cc2ccccc2)CC1,3.99
Cc1ncoc1-c1nnc(SCCCN2CCC3(c4ccc(C(F)(F)F)cc4)CC3C2)n1C,6.1
COc1ccc(N2C(=O)C(C)(C)C2c2ccccc2OC)cc1,4.89
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,3.99
COC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc(-c2ccc(NC(=O)[C@@H]3CCCN3C(=O)[C@H](NC(=O)OC)c3ccccc3)cc2)cc1)c1ccccc1,5.01
CCCC(=O)O[C@@H](C(=O)N1N=CC[C@H]1C(=O)NCc1cc(Cl)ccc1-n1cnnn1)c1ccc(F)cc1,4.82
CCc1ccc2c(N3CCNCC3)nc(N)nc2c1,5.82
Fc1ccc(Cn2c(N3CCC(n4cccn4)CC3)nc3ccccc32)cc1,5.45
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,4.3
O=C([C@@H]1C[C@H]1c1ccc(C(F)(F)F)cc1)N1CCN(S(=O)(=O)c2cc(CCO)cc(C(F)(F)F)c2)CC1,6.05
O=C(c1ccc(Cl)c(C(F)(F)F)c1)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,4.32
O=C([C@H]1C[C@H](Oc2cccc(Cl)c2)CN1)N1CCCN(C2CCC2)CC1,5.14
CC(C)(C)c1cc(C(=O)Nc2nc(CN)cs2)n(Cc2ccccc2)n1,5.43
CS(=O)(=O)c1ccc(OCC2CC2)c(C(=O)N2CCN(c3ccc(C#N)cc3F)CC2)c1,6.22
Cc1ccc(-c2ccc(C#Cc3cccc(C#Cc4ccc(-c5ccc(C)cc5)cc4)[n+]3C)cc2)cc1.O=S(=O)([O-])C(F)(F)F,6.4399999999999995
CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,3.99
O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,4.78
CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)C3CCCCC3)CC2)c2ncccc2c1.Cl.Cl,7.74
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCN(C)C)c1,6.75
Nc1nccn1CC(O)c1ccc(Cl)cc1F,4.22
CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1.Cl.Cl,5.13
Cc1cnc(NC(=O)[C@H](COC2CCC2)Oc2ncnc3c2cnn3-c2ncccc2Cl)cn1,4.4
CNS(=O)(=O)c1cc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3cccc(F)c3)CC2)c(Cl)cc1F,4.72
C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cccc(C(F)(F)F)c3)c2)CN1,4.97
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCc1ccccn1,5.263333333333333
Nc1nc(NC2CCNC2)c2sc(-c3ccc(C(F)(F)F)cc3)cc2n1,5.62
C[C@@H]1CCCN1CCc1ccc2nc(-c3ccncc3)ccc2c1,4.855
Cc1ncc(-c2nc(Nc3ccc(C(N)=O)c(F)c3)ncc2F)n1C(C)C,4.7
CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC1,5.68
c1ccc2c3c([nH]c2c1)[C@@H](C1CCOCC1)N[C@@H](c1nc(-c2ccsc2)c[nH]1)C3,6.84
Cc1nccnc1C(=O)N1CCC([C@H](N)Cc2cc(F)c(F)cc2F)CC1,4.26
Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2cccnc2)n1C,5.17
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,3.99
CCCC[C@@H](CCO)Nc1nc(N)nc2c(F)cccc12,5.35
CSc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1,5.1
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Sc3ccc(C(=O)O)cc3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,5.34
Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccsc3)[nH]c2c1,5.82
NC1=NC(c2ccncc2)(c2cccc(-c3cncc(F)c3)c2)c2cccc(F)c21,5.8
NC1(C(=O)NC(c2ccccc2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,5.8
NC1=N[C@]2(CO1)c1cc(C3=CCOCC3)ccc1Oc1ccc(-c3cncnc3)cc12,4.97
CC(C)N1CCN(C(=O)c2ccc3c(CN4CCOCC4)cn(C)c3c2)CC1,3.99
Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3nccnc3C)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,5.11
Cc1[nH]c2ccccc2c1CCN1CCc2ccc(/C=C/C(=O)NO)cc2CC1,5.5
N#Cc1cccc(Oc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cn2)c1,5.27
COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cc1C#N,5.68
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.99
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1,8.44
CCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc([C@]34CNC[C@H]3C4)cc2)cc1,5.9
N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,4.376666666666667
